Date,Daily Confirmed
1/30/2020,1
1/31/2020,0
2/1/2020,0
2/2/2020,1
2/3/2020,1
2/4/2020,0
2/5/2020,0
2/6/2020,0
2/7/2020,0
2/8/2020,0
2/9/2020,0
2/10/2020,0
2/11/2020,0
2/12/2020,0
2/13/2020,0
2/14/2020,0
2/15/2020,0
2/16/2020,0
2/17/2020,0
2/18/2020,0
2/19/2020,0
2/20/2020,0
2/21/2020,0
2/22/2020,0
2/23/2020,0
2/24/2020,0
2/25/2020,0
2/26/2020,0
2/27/2020,0
2/28/2020,0
2/29/2020,0
3/1/2020,0
3/2/2020,2
3/3/2020,1
3/4/2020,22
3/5/2020,2
3/6/2020,1
3/7/2020,3
3/8/2020,5
3/9/2020,9
3/10/2020,15
3/11/2020,8
3/12/2020,10
3/13/2020,10
3/14/2020,11
3/15/2020,10
3/16/2020,14
3/17/2020,20
3/18/2020,25
3/19/2020,27
3/20/2020,58
3/21/2020,78
3/22/2020,69
3/23/2020,94
3/24/2020,74
3/25/2020,86
3/26/2020,73
3/27/2020,153
3/28/2020,136
3/29/2020,120
3/30/2020,187
3/31/2020,309
4/1/2020,424
4/2/2020,486
4/3/2020,560
4/4/2020,579
4/5/2020,609
4/6/2020,484
4/7/2020,573
4/8/2020,565
4/9/2020,813
4/10/2020,871
4/11/2020,854
4/12/2020,758
4/13/2020,1243
4/14/2020,1031
4/15/2020,886
4/16/2020,1061
4/17/2020,922
4/18/2020,1371
4/19/2020,1580
4/20/2020,1239
4/21/2020,1537
4/22/2020,1292
4/23/2020,1667
4/24/2020,1408
4/25/2020,1835
4/26/2020,1607
4/27/2020,1568
4/28/2020,1902
4/29/2020,1705
4/30/2020,1801
5/1/2020,2396
5/2/2020,2564
5/3/2020,2952
5/4/2020,3656
5/5/2020,2971
5/6/2020,3602
5/7/2020,3344
5/8/2020,3339
5/9/2020,3175
5/10/2020,4311
5/11/2020,3592
5/12/2020,3562
5/13/2020,3726
5/14/2020,3991
5/15/2020,3808
5/16/2020,4794
5/17/2020,5049
5/18/2020,4628
5/19/2020,6154
5/20/2020,5720
5/21/2020,6023
5/22/2020,6536
5/23/2020,6667
5/24/2020,7111
5/25/2020,6414
5/26/2020,5907
5/27/2020,7246
5/28/2020,7254
5/29/2020,8138
5/30/2020,8364
5/31/2020,8789
6/1/2020,7722
